Warning: {
	Model use is disabled for direction type. Direction types ORTHO N+1 QUAD are changed to ORTHO N+1 NEG.
} 
Warning: {
	Model use is disabled for problem with categorical variables.
} 

MADS run {

	BBE	(	SOL	)	OBJ

	1036	(	3 0 2155.8094128680 2 2081.7192554589 1 5760.8438797461 )	44.4521345918
	1037	(	3 0 2147.6626500201 2 2089.9876117822 1 5762.1942825782 )	44.4444829188
	1052	(	3 0 2147.7227315020 2 2090.3523922082 1 5761.8938751685 )	44.4435842497
	1069	(	3 0 2147.6826771807 2 2090.4554486390 1 5761.8466682898 )	44.4435085227
	1091	(	3 0 2147.6926027511 2 2090.4655555844 1 5761.8410454298 )	44.4433851946
	1112	(	3 0 2147.6928861715 2 2090.4671113006 1 5761.8399842459 )	44.4433791587
	1136	(	3 0 2147.6929242423 2 2090.4667942569 1 5761.8402457557 )	44.4433791230
	1137	(	3 0 2147.6930384547 2 2090.4658431259 1 5761.8410302851 )	44.4433790157
	1138	(	3 0 2147.6934953046 2 2090.4620386020 1 5761.8441684027 )	44.4433785866
	1139	(	3 0 2147.6953227041 2 2090.4468205065 1 5761.8567208729 )	44.4433768705
	1140	(	3 0 2147.7026323021 2 2090.3859481243 1 5761.9069307539 )	44.4433700088
	1141	(	3 0 2147.7318706941 2 2090.1424585957 1 5762.1077702780 )	44.4433426051
	1142	(	3 0 2147.8488242622 2 2089.1685004811 1 5762.9111283742 )	44.4432336844
	1143	(	3 0 2148.3166385345 2 2085.2726680225 1 5766.1245607588 )	44.4428091039
	1144	(	3 0 2150.1878956236 2 2069.6893381885 1 5778.9782902974 )	44.4412882431
	1145	(	3 0 2157.6729239799 2 2007.3560188523 1 5830.3932084519 )	44.4380329703
	1147	(	3 0 2157.6893748618 2 2007.3138187638 1 5830.6300773102 )	44.4361171875
	1148	(	3 0 2157.7387275077 2 2007.1872184983 1 5831.3406838853 )	44.4303705035
	1149	(	3 0 2157.9361380912 2 2006.6808174363 1 5834.1831101853 )	44.4073937411
	1158	(	3 0 2158.3338202811 2 2006.3889930955 1 5834.9937333542 )	44.3990282545
	1172	(	3 0 2158.1449927665 2 2006.4104507676 1 5835.4419602830 )	44.3965234705
	1213	(	3 0 2158.1449964918 2 2006.4111138693 1 5835.4437449881 )	44.3965018415
	1232	(	3 0 2158.1451043706 2 2006.4107535020 1 5835.4440376519 )	44.3965012966
	1245	(	3 0 2158.1451346238 2 2006.4106038368 1 5835.4442206956 )	44.3965006497
	1266	(	3 0 2158.1451467981 2 2006.4106038866 1 5835.4442478912 )	44.3965002964
	1295	(	3 0 2158.1451468914 2 2006.4106038087 1 5835.4442488146 )	44.3965002880
	1312	(	3 0 2158.1451469545 2 2006.4106039563 1 5835.4442486459 )	44.3965002877
	1313	(	3 0 2158.1451471435 2 2006.4106043991 1 5835.4442481398 )	44.3965002868
	1324	(	3 0 2158.1451471954 2 2006.4106041711 1 5835.4442485425 )	44.3965002846
	1337	(	3 0 2158.1451472585 2 2006.4106043187 1 5835.4442483738 )	44.3965002843
	1346	(	3 0 2158.1451473215 2 2006.4106044663 1 5835.4442482052 )	44.3965002840
	1372	(	3 0 2158.1451473156 2 2006.4106044790 1 5835.4442482011 )	44.3965002840
	1382	(	3 0 2158.1451473097 2 2006.4106044917 1 5835.4442481970 )	44.3965002840
	1403	(	3 0 2158.1451473112 2 2006.4106044911 1 5835.4442481961 )	44.3965002840
	1404	(	3 0 2158.1451473158 2 2006.4106044896 1 5835.4442481935 )	44.3965002840
	1417	(	3 0 2158.1451473173 2 2006.4106044890 1 5835.4442481927 )	44.3965002840
	1418	(	3 0 2158.1451473218 2 2006.4106044875 1 5835.4442481901 )	44.3965002840
	1431	(	3 0 2158.1451473233 2 2006.4106044869 1 5835.4442481892 )	44.3965002840
	1432	(	3 0 2158.1451473279 2 2006.4106044854 1 5835.4442481866 )	44.3965002840
	1445	(	3 0 2158.1451473294 2 2006.4106044848 1 5835.4442481858 )	44.3965002840
	1472	(	3 0 2158.1451473293 2 2006.4106044849 1 5835.4442481857 )	44.3965002840
	1493	(	3 0 2158.1451473293 2 2006.4106044849 1 5835.4442481857 )	44.3965002840
	1494	(	3 0 2158.1451473294 2 2006.4106044849 1 5835.4442481857 )	44.3965002840
	1495	(	3 0 2158.1451473295 2 2006.4106044848 1 5835.4442481857 )	44.3965002840
	1528	(	3 0 2158.1451473295 2 2006.4106044848 1 5835.4442481857 )	44.3965002840

} end of run (mesh index limits (+/- 50))

blackbox evaluations    : 1528
best feasible solution  : ( 3 0 2158.145147 2 2006.410604 1 5835.444248 ) h=0 f=44.39650028
